Term,Shock
1,0.75
2,0.65
3,0.56
4,0.5
5,0.46
6,0.42
7,0.39
8,0.36
9,0.33
10,0.31
11,0.3
12,0.29
13,0.28
14,0.28
15,0.27
16,0.28
17,0.28
18,0.28
19,0.29
20,0.29
21,0.288714286
22,0.287428571
23,0.286142857
24,0.284857143
25,0.283571429
26,0.282285714
27,0.281
28,0.279714286
29,0.278428571
30,0.277142857
31,0.275857143
32,0.274571429
33,0.273285714
34,0.272
35,0.270714286
36,0.269428571
37,0.268142857
38,0.266857143
39,0.265571429
40,0.264285714
41,0.263
42,0.261714286
43,0.260428571
44,0.259142857
45,0.257857143
46,0.256571429
47,0.255285714
48,0.254
49,0.252714286
50,0.251428571
51,0.250142857
52,0.248857143
53,0.247571429
54,0.246285714
55,0.245
56,0.243714286
57,0.242428571
58,0.241142857
59,0.239857143
60,0.238571429
61,0.237285714
62,0.236
63,0.234714286
64,0.233428571
65,0.232142857
66,0.230857143
67,0.229571429
68,0.228285714
69,0.227
70,0.225714286
71,0.224428571
72,0.223142857
73,0.221857143
74,0.220571429
75,0.219285714
76,0.218
77,0.216714286
78,0.215428571
79,0.214142857
80,0.212857143
81,0.211571429
82,0.210285714
83,0.209
84,0.207714286
85,0.206428571
86,0.205142857
87,0.203857143
88,0.202571429
89,0.201285714
90,0.2
91,0.2
92,0.2
93,0.2
94,0.2
95,0.2
96,0.2
97,0.2
98,0.2
99,0.2
100,0.2
101,0.2
102,0.2
103,0.2
104,0.2
105,0.2
106,0.2
107,0.2
108,0.2
109,0.2
110,0.2
111,0.2
112,0.2
113,0.2
114,0.2
115,0.2
116,0.2
117,0.2
118,0.2
119,0.2
120,0.2
121,0.2
122,0.2
123,0.2
124,0.2
125,0.2
126,0.2
127,0.2
128,0.2
129,0.2
130,0.2
131,0.2
132,0.2
133,0.2
134,0.2
135,0.2
136,0.2
137,0.2
138,0.2
139,0.2
140,0.2
141,0.2
142,0.2
143,0.2
144,0.2
145,0.2
146,0.2
147,0.2
148,0.2
149,0.2
150,0.2
