,Death Prob
0,0.014243000000000006
1,0.015940000000000065
2,0.017824000000000062
3,0.01991300000000007
4,0.02222600000000008
5,0.024783
6,0.02760600000000002
7,0.030718000000000023
8,0.03414399999999995
9,0.03791100000000003
10,0.04204600000000003
11,0.04657800000000001
12,0.051538000000000084
13,0.05695600000000001
14,0.062867
15,0.06930300000000011
16,0.07630000000000003
17,0.083893
18,0.092117
19,0.10100700000000007
20,0.11060000000000003
21,0.12092900000000006
22,0.13202800000000003
23,0.14392899999999997
24,0.15666000000000002
25,0.17024700000000004
26,0.18471400000000004
27,0.20007900000000012
28,0.21635399999999994
29,0.2335480000000001
30,0.25166200000000005
31,0.27068800000000004
32,0.290613
33,0.3114140000000001
34,0.3330580000000001
35,0.35550499999999996
36,0.3787020000000001
37,0.40258799999999995
38,0.42708999999999997
39,0.45212699999999995
40,0.47760800000000003
41,0.5034320000000001
42,0.529493
43,0.555674
44,0.5818569999999998
45,0.607918
46,0.633731
47,0.659171
48,0.6841140000000001
49,0.708442
50,0.7320419999999999
