,Loan Net of Mkt NNEG,IFRS
0,1.0,0.8598655906849565
1,1.0699999999999967,0.9222584960275726
2,1.1448999794537682,0.9890352402766622
3,1.2250379859021423,1.060469553677474
4,1.3107056122915968,1.1368544569818115
5,1.401991569848567,1.2184953223379915
6,1.4987208217315071,1.3057089995934614
7,1.6005435713781793,1.3988222504270489
8,1.7070529216004484,1.4981696908672402
9,1.817863866042933,1.60409062990504
10,1.9326507874275989,1.7169246655282693
11,2.0511584583704168,1.8370061931551813
12,2.1731995941843865,1.964656390098667
13,2.298646889356823,2.1001723643685883
14,2.4274236444765345,2.2438134560874134
15,2.559494856427304,2.395780142524782
16,2.694859481667243,2.5561874914910554
17,2.8335440260236453,2.7250246800175413
18,2.9755973739282444,2.902102343048207
19,3.1210866845449434,3.086988363102061
20,3.2700941681789892,3.2789456918823765
21,3.4227145720478727,3.4768975159266278
22,3.5790532300503433,3.679459682284062
23,3.7392245576431185,3.885058825291448
24,3.903350896719639,4.092134795358016
25,4.071561635386933,4.2993802783259225
26,4.243992543768632,4.505939950051653
27,4.4207852798682,4.71150454969076
28,4.602087029666029,4.9162809156894225
29,4.788050253535806,5.120863227595874
30,4.9788325172172065,5.3260614194426275
31,5.174596390358081,5.532750259146368
32,5.375509399347849,5.741767023203881
33,5.5817440240462215,5.953856289798032
34,5.793477730255658,6.169655389721588
35,6.01089303153714,6.389700512487696
36,6.234177575338761,6.614438856277319
37,6.46352424948125,6.844247485675026
38,6.6991313058898845,7.079448166862454
39,6.941202499129353,7.3203236653624995
40,7.189947237826021,7.56712925912526
41,7.445580747481291,7.820103322405443
42,7.708324243513669,8.079476392011127
43,7.978405113633942,8.345474668554475
44,8.25605710887186,8.618327264481517
45,8.54152054274495,8.898265957230993
46,8.835042498199119,9.185528158341258
47,9.136877042063471,9.480358344183138
48,9.447285446853783,9.78300845765074
49,9.766536419834047,10.093741188756029
50,10.094906339307503,10.412836589106265
