,Capital,BE Liabs,SII Liabs
0,3295096694.536497,3295096694.535733,3760784780.0140276
1,2968001883.1226954,2950013907.3479505,3353990531.839816
2,2671011075.079566,2633257950.4244094,2985458035.3663588
3,2402891592.9282694,2343074476.7243843,2651175763.0416965
4,2162175283.7180943,2077736601.9497654,2347716716.8705006
5,1946951447.1866324,1837392304.7770135,2074353630.4990406
6,1755550310.908589,1618905010.375676,1826973960.746717
7,1586254922.3208838,1421645441.4338553,1604378989.641034
8,1437108951.2872298,1244551242.997726,1405089538.0229893
9,1306984126.1923044,1083392284.0851085,1224033090.7304268
10,1194360523.4229114,938757069.7311432,1061698219.0116618
11,1097973186.0752506,808861110.0121418,915935976.8863444
12,1016432579.0698664,693403832.4574213,786365172.5281204
13,948633869.4284598,590753385.8237641,671088813.6248846
14,893532688.3046649,499814909.9272019,568850533.7988108
15,849970786.163268,419967648.83236545,478975326.3904128
16,817017328.7250929,349956839.1187941,400019360.10827595
17,793824112.3228289,288667230.288173,330758711.7901911
18,779503127.9184409,235683541.66532648,270748045.5384419
19,773060026.06392,190722821.29912865,219704965.3302193
20,773379370.5878687,152805617.3865272,176560205.7997439
21,779620624.8097334,120710271.17869645,139927415.42407346
22,791142891.6196315,94385593.21870984,109796413.6680016
23,807270905.8786571,72654682.15717097,84828188.92677768
24,827426301.5767374,55214325.52991729,64725821.17757337
25,851263435.1247413,41185248.023164056,48479474.123569466
26,878321294.2376149,29954027.632070735,35418254.11745512
27,908257646.2689328,21572249.072058514,25633104.386697967
28,940703953.6140499,15239575.062347747,18203416.168644894
29,975415274.6720262,10622790.336944925,12760586.847118534
30,1012324108.2378589,7162002.257149963,8655284.849939719
31,1051339613.2630875,4667428.856189695,5677266.744364361
32,1092347687.9156332,3004466.8169089025,3679135.9212516937
33,1135310217.4526865,1859149.3978798403,2294248.9219830944
34,1180244575.3896468,1094648.2802847237,1362187.9927576208
35,1227145790.2742245,638134.9263310443,800702.91834891
36,1276013244.9045248,365419.89014209143,462904.0510467393
37,1326903079.2757373,208305.4224529468,266454.943243624
38,1379880309.9891825,109842.21055361998,141933.66343240216
39,1435011881.7173154,53051.61872542953,69310.19647591526
40,1492375745.243289,23608.937170766516,31202.02819067633
