,Capital,BE Liabs,SII Liabs
0,2651604486.940416,2651604486.940416,3026135353.760051
1,2374962772.8180313,2374226395.4253135,2699104511.928479
2,2121235338.9307528,2121042225.785657,2404446586.099335
3,1889153085.2879817,1889144632.2653832,2137282146.6954608
4,1677192151.0995014,1678853900.1495016,1896758892.6900048
5,1484475117.1434822,1485310308.7579253,1676637014.4891386
6,1309411584.2292213,1310763984.7574449,1479020872.1144683
7,1150905027.5983899,1151753386.4843347,1299609016.9055789
8,1007399278.3023258,1008986145.2366792,1138976580.5579062
9,877910055.0344191,879369402.3458985,993398238.7665942
10,761280304.4357954,763112687.063409,862948465.4777157
11,656672877.413227,658175611.3029495,745221153.335476
12,563057076.5097564,564540855.0337481,640173027.8526855
13,479635513.97014683,481348374.27866316,546768861.0783113
14,405708576.12895256,407277022.0108982,463509343.76936257
15,340420067.1741109,342409536.87481886,390507642.68513465
16,283095274.6610755,285539578.9412951,326389056.6189663
17,233159420.0475183,235786389.08631545,270182088.6635995
18,190068272.04941887,192675393.61806613,221360352.85410476
19,153109774.9313959,156037857.6459211,179775952.05841017
20,121792420.3286516,124761540.26544386,144174774.08433336
21,95519854.74179775,98522510.82261162,114225877.69904965
22,73728704.13146967,76769566.91757663,89319833.27833594
23,55854853.89672843,59062511.99179255,68976077.80020691
24,41340940.05259757,44873557.88650592,52616316.42386791
25,29743955.254701477,33481466.84310798,39427186.434979625
26,20633398.264889546,24515874.67219544,29000767.18222626
27,13592417.39548512,17564763.68252721,20882814.952775024
28,8280064.4913045205,12274871.355641909,14669617.057727052
29,4295331.0709567005,8474743.138149498,10184788.363824967
30,1366374.7137949686,5697609.651222988,6887967.151595595
31,-759338.297653232,3737647.8011222216,4547825.734230344
32,-2251735.0295593604,2341114.627900819,2867576.5425101714
33,-3320655.6307417364,1459142.6583134956,1800398.2494056006
34,-4087712.255971403,880287.4575083593,1094526.5237589898
35,-4664308.746210262,530599.5151655785,665527.9260414928
36,-5105223.496058671,302218.75751904503,382612.516820987
37,-5453732.435901019,158753.0214797908,202948.23299736978
38,-5759632.13333706,89206.21752472104,115249.7680470225
39,-6040231.81867054,46378.1197515981,60740.53860398518
40,-6309052.291417365,23200.697181510517,30757.12963881551
