,Capital,BE Liabs,SII Liabs
0,9.70468390733001e-07,0.0,0.0
1,32268.20125633497,0.0,0.0
2,66646.8535660485,0.0,0.0
3,103048.06240263618,0.0,0.0
4,141354.7445407582,0.0,0.0
5,181965.3023818807,0.0,0.0
6,223848.50904562097,0.0,0.0
7,267824.126899886,0.0,0.0
8,314195.1437372613,0.0,0.0
9,360534.0344615793,0.0,0.0
10,407588.95198783994,0.0,0.0
11,455435.60665991943,0.0,0.0
12,504398.8612028421,0.0,0.0
13,554687.7632486856,0.0,0.0
14,605277.8607803365,0.0,0.0
15,655684.0114106437,0.0,0.0
16,707504.0994499227,0.0,0.0
17,760019.8273969906,0.0,0.0
18,813595.8801088545,0.0,0.0
19,867316.2006215883,0.0,0.0
20,920330.8423210331,0.0,0.0
21,974047.1128508796,0.0,0.0
22,1028057.4071470523,0.0,0.0
23,1081712.921369308,0.0,0.0
24,1135107.2666257117,0.0,0.0
25,1181186.339624847,0.0,0.0
26,1228884.9849564785,0.0,0.0
27,1278558.1619034882,0.0,0.0
28,1329578.8064702651,0.0,0.0
29,1382938.3421998532,0.0,0.0
30,1438263.2342355405,0.0,0.0
31,1495732.9399756882,0.0,0.0
32,1555456.2628948938,0.0,0.0
33,1617651.1199278678,0.0,0.0
34,1682335.8020399495,0.0,0.0
35,1749546.8671440284,0.0,0.0
36,1819595.4005575548,0.0,0.0
37,1892379.216579858,0.0,0.0
38,1968074.3852430524,0.0,0.0
39,2046797.3606527734,0.0,0.0
40,2128669.2550788852,0.0,0.0
