,Capital,BE Liabs,SII Liabs
0,3274858440.1979485,3274858440.1979485,3738044510.9621973
1,2928390483.80587,2927860476.5035167,3329204391.018947
2,2610997343.1581106,2610979030.7181115,2960616453.043671
3,2320977296.8844333,2322215574.9598756,2628024641.5930967
4,2056884174.759812,2058367389.789882,2326298832.1191063
5,1817086614.7502031,1819006366.7918377,2054036158.9338207
6,1599847580.340212,1601626301.430434,1807885991.9016564
7,1403384571.5538201,1405381328.3644075,1586419065.4745057
8,1226039047.415973,1228469854.2691836,1387290422.7956202
9,1066269025.3126119,1069242445.7685647,1208384563.640498
10,922890865.3251166,925555351.6806729,1047063024.1933025
11,794585961.9381208,796600761.3042519,902328321.9292854
12,680048635.4156455,682270430.5447782,773984453.1359881
13,578460571.8322716,579887874.6220508,658951448.1441331
14,488515283.7055629,490370706.0204694,558287595.6111349
15,409393850.05378526,411224787.68876356,469155566.0753297
16,340190898.0559367,342170002.15839916,391243614.98776495
17,280116313.9781741,282004524.0859263,323231275.4871806
18,228284290.53730115,230524281.62069008,264912386.76653618
19,183985537.15879324,186284254.18974718,214672506.64892918
20,146478087.645145,148858408.9228965,172061547.89124763
21,115155209.15095076,117212341.10521168,135921173.3506032
22,89211716.51698887,91373007.23670626,106323853.03484444
23,68000246.1776684,70191531.35723695,81979501.1315933
24,50821021.02477515,53258793.86320603,62452075.5662645
25,37149914.86576611,39635164.01584871,46676664.582922965
26,26403827.460396767,29054344.226843365,34374190.15296589
27,18142455.55881262,20831177.96895401,24763625.971659817
28,11876942.781165127,14652447.970992943,17511069.15058428
29,7278879.492411732,9956520.708184939,11965992.206186682
30,3918710.672108201,6716226.052372155,8118585.954592323
31,1538741.0989925286,4358639.326772261,5302314.45245578
32,-146435.2570477693,2800725.8053568993,3430154.8474196694
33,-1354809.6673296783,1794031.5885605991,2213452.3426627796
34,-2197401.0540228677,1090832.8951871116,1356786.8060310644
35,-2792464.096183784,650930.4164554972,816544.1059970349
36,-3214807.6600311357,369024.2220660917,467205.7088494906
37,-3526901.9664323814,202886.2923456821,259203.67862397592
38,-3772304.045089674,107519.63453540018,138651.87732453804
39,-3983079.206893263,56891.76017668404,74206.39112483672
40,-4170102.375168993,23872.86217601904,31595.488963693424
