,Age,Loan Value,Property Value,AER,Spread
0,69,77072.24442465897,271000,0.058,0.01799999999999994
1,77,191541.62333780227,751000,0.07,0.03000000000000006
2,74,149369.3302654417,436000,0.06,0.020000000000000025
3,70,275546.6982923864,762000,0.053,0.012999999999999845
4,78,192385.74444946443,481000,0.052,0.012000000000000075
5,69,91360.73510170737,241000,0.063,0.02299999999999988
6,71,202812.2426087493,756000,0.057,0.016999999999999824
7,61,124438.55880079977,652000,0.078,0.0380000000000001
8,63,135519.7296904734,387000,0.076,0.035999999999999956
9,76,41942.75126612298,211000,0.05,0.010000000000000045
10,64,113455.83181042962,305000,0.073,0.03299999999999991
11,77,173439.940250769,697000,0.076,0.03600000000000012
12,61,148659.22269012994,583000,0.064,0.02399999999999998
13,78,92783.2021074146,245000,0.056,0.016000000000000066
14,70,158128.97451307718,650000,0.075,0.034999999999999934
15,72,120374.88888116063,432000,0.055,0.014999999999999788
16,60,182205.15358187174,443000,0.057,0.016999999999999977
17,69,212280.48325764562,530000,0.055,0.014999999999999927
18,62,62663.722010313795,284000,0.078,0.03800000000000013
19,77,159248.0974138414,606000,0.058,0.01800000000000007
20,65,100666.80016973309,498000,0.05,0.01000000000000007
21,77,242618.11848064204,692000,0.076,0.036000000000000074
22,77,111401.79462255187,460000,0.065,0.02500000000000001
23,77,229644.1413110808,639000,0.075,0.03499999999999997
24,79,72827.30557485027,228000,0.072,0.032000000000000084
25,77,147226.43856402495,467000,0.05,0.009999999999999988
26,74,171839.496170617,563000,0.07,0.03000000000000003
27,69,89592.45996884839,330000,0.072,0.03199999999999991
28,68,161846.12699693468,503000,0.068,0.02799999999999994
29,62,226087.40286069407,750000,0.066,0.02599999999999995
30,78,226651.79445767216,657000,0.059,0.01899999999999985
31,78,93578.17212040735,331000,0.057,0.016999999999999824
32,70,107801.57404633443,611000,0.052,0.012000000000000005
33,71,175816.9887350759,655000,0.057,0.016999999999999932
34,72,207883.86379051112,554000,0.073,0.032999999999999835
35,76,71307.72064009686,298000,0.069,0.028999999999999842
36,75,109581.46045289561,294000,0.05,0.010000000000000077
37,71,61093.499043262505,212000,0.056,0.01600000000000005
38,70,47629.60497262244,257000,0.076,0.03599999999999994
39,74,188141.43863808693,595000,0.066,0.025999999999999964
40,66,137246.55305349224,389000,0.078,0.037999999999999964
41,64,118687.75288515093,388000,0.056,0.016000000000000007
42,75,38133.70255262167,285000,0.062,0.022000000000000082
43,72,145334.15471846738,749000,0.064,0.023999999999999935
44,63,87850.82836613407,384000,0.058,0.01799999999999999
45,76,33510.82810745246,247000,0.071,0.03099999999999995
46,74,87670.58369256122,287000,0.075,0.03499999999999999
47,79,91069.60396036971,393000,0.074,0.03400000000000003
48,64,267638.8053204458,591000,0.074,0.03399999999999994
49,76,215465.16792708085,705000,0.063,0.02299999999999981
50,70,316044.66945068317,712000,0.071,0.031000000000000034
51,73,60752.94253275847,233000,0.057,0.016999999999999897
52,65,287843.55560614925,698000,0.057,0.016999999999999918
53,73,141748.56685936957,441000,0.064,0.024000000000000004
54,76,74128.32068460004,231000,0.058,0.01799999999999999
55,67,233046.6444192846,674000,0.076,0.036
56,71,116239.38156617481,353000,0.053,0.012999999999999817
57,61,120440.26920954186,543000,0.079,0.038999999999999854
58,60,170098.77201879327,683000,0.076,0.035999999999999976
59,63,108813.79626278977,408000,0.076,0.03599999999999992
60,69,95764.64356641397,406000,0.073,0.032999999999999856
61,70,159073.16609200582,439000,0.059,0.018999999999999826
62,60,102113.7615390878,312000,0.076,0.03600000000000004
63,70,206801.66719040248,474000,0.058,0.01800000000000004
64,72,88754.89205090505,676000,0.065,0.02499999999999983
65,61,98351.87535309406,393000,0.061,0.02099999999999987
66,68,308922.09915332764,732000,0.065,0.024999999999999804
67,77,57108.3739024511,335000,0.055,0.014999999999999887
