,Capital,BE Liabs,SII Liabs
0,3798587022.1136084,3298587022.1136084,3764513621.5516534
1,3472666021.9981575,2953622853.5675693,3357942413.413644
2,3175961998.8780746,2635379225.7029824,2987817676.1757927
3,2906981272.8331985,2345926103.4463687,2654452334.7514176
4,2664553582.746527,2080204221.1794958,2350637333.5117116
5,2446884888.056387,1839504996.0754664,2076935402.2039928
6,2252500209.5786424,1620511634.1298745,1829017309.5479786
7,2079740323.9617887,1422486516.7802467,1605597206.505395
8,1927018417.9202604,1244187092.1803617,1404944428.9059684
9,1792980536.6370704,1083299867.2892811,1224197011.7543473
10,1676230042.102554,938772192.2381889,1061980955.6171691
11,1575439487.786656,809606911.7159035,917051549.7134391
12,1489740407.298122,693886961.5344777,787145823.8935189
13,1418185198.5900474,590659218.6504109,671184508.4192227
14,1359957087.5336487,498732598.4251083,567793677.4109938
15,1313946676.0349944,418687477.9948273,477657581.8327492
16,1279253101.076394,348958949.15900874,398998208.7539705
17,1255128735.11945,288262085.57682854,330395626.1632553
18,1240981884.5242279,235330327.41298977,270432889.8986274
19,1236094173.9051971,190220055.63719982,219198273.68130744
20,1239821426.8614054,151902256.4257392,175563013.7681109
21,1251488547.935862,119795331.84398727,138899120.67347673
22,1270311008.853297,93561714.98871984,108860192.24090874
23,1295744925.2074275,72002779.32381076,84085518.79888518
24,1327261688.2157254,54492674.583758734,63888859.0834181
25,1364252913.7443547,40713401.336246885,47939947.965716034
26,1406318139.294129,29766475.1831701,35211463.566963285
27,1452975224.8658938,21453569.902515214,25503550.053604323
28,1503920844.8605287,15055857.691286372,17991232.13405948
29,1558797986.6549509,10389598.886178566,12483751.92346427
30,1617309350.1211493,7071902.039217692,8547729.507204527
31,1679312048.1259947,4625981.987546536,5626985.291927257
32,1744619224.051035,2982941.474854198,3654209.045149173
33,1813177127.0130749,1828891.4997451901,2256618.7471819
34,1884868561.093599,1152401.9400491593,1433863.7711294913
35,1959735667.537344,675715.9556694832,847844.6305466003
36,2037784652.2388372,402175.55872824247,509522.7684203802
37,2119101371.3283913,214299.62002693643,273936.54494544485
38,2203752672.1815267,114121.07976161521,147527.58041294562
39,2291844135.068786,55084.14051734593,71966.5140784414
40,2383488616.471539,25631.722970081693,33844.05839429175
