,Capital,BE Liabs,SII Liabs
0,3306599781.0052423,3306599781.0052423,3773704325.819541
1,3125608291.2096834,3126312639.548373,3554232231.644794
2,2954430143.297432,2956166439.811928,3351294657.989251
3,2790797849.5037413,2796195821.393513,3163491461.2470827
4,2634586782.128254,2647879051.79979,2991315198.9272165
5,2486024544.8738775,2510430333.341335,2833175189.4280796
6,2343425245.977005,2383861359.2503757,2688667264.528675
7,2205680047.3741918,2267644375.2781415,2556808600.7063293
8,2070543012.6300344,2159517939.993107,2434799130.3013587
9,1939081856.0577822,2059730597.3093917,2322612466.7316594
10,1807941366.2374873,1967464232.6622405,2219194208.1861825
11,1678045728.145935,1884081833.4533746,2125830155.1700113
12,1545000059.8224442,1809421337.6104028,2042297150.1692727
13,1411485529.726775,1739977398.2566574,1964589231.6374881
14,1273585528.5888627,1677961828.8058991,1895094393.9153981
15,1130385583.5158143,1622221982.2318387,1832570583.8934736
16,980416185.0175922,1572440431.496245,1776545205.5073931
17,823813570.7745901,1528482928.0439863,1726919880.3111687
18,660377979.6724993,1490035223.5096035,1683339970.4619539
19,487688145.0128437,1456619073.2915668,1645274855.0363843
20,305837321.1341824,1428726995.7333674,1613396130.7413657
21,110475836.42499104,1404154113.6585333,1585255113.5964
22,-96991528.84137154,1384383086.5101705,1562481153.3465335
23,-317399019.6030239,1365878365.113276,1541102464.109101
24,-552683869.8096511,1350852064.7660067,1523661703.5829816
25,-803993112.3296635,1338445797.3533337,1509188585.3940408
26,-1069609980.6163355,1329661560.9056563,1498790614.6533394
27,-1351197014.3702173,1323447653.1970649,1491319783.2710347
28,-1650712743.1647637,1318020794.6722102,1484759155.1166403
29,-1965553650.9504902,1315461919.2102273,1481469068.0016658
30,-2300225988.1922317,1312779603.5692291,1478065155.6637094
31,-2652662267.807059,1309716998.4418528,1474254082.2304425
32,-3024871315.263009,1307350716.2875888,1471284336.0749812
33,-3415330373.403828,1305788947.3360622,1469192681.0680335
34,-3823364442.846464,1307063635.0273297,1470348049.5706294
35,-4252326663.4789114,1307925428.30321,1471063669.9647028
36,-4699772080.555228,1308258618.4802482,1471179797.375643
37,-5166928050.891217,1308184651.4294438,1470848905.4448013
38,-5655709761.584789,1309414317.1510587,1471983060.1859193
39,-6166550880.620456,1307855757.3308098,1470004877.6222842
40,-6695064962.521261,1307496546.049898,1469349886.2513003
