,Capital,BE Liabs,SII Liabs
0,3315700197.170195,3315700197.170195,3784447256.5069575
1,3131695238.9370112,3131957898.587991,3560991407.095393
2,2958461941.4177265,2958719971.558091,3354516141.8083344
3,2792705204.757266,2799436258.4518375,3167436995.983486
4,2633901194.2064323,2649997555.0873003,2993974290.918745
5,2482447772.629343,2512122103.086733,2835329301.4626775
6,2337044391.495555,2384785709.159121,2689950075.4560747
7,2198239666.6480317,2267322946.8619666,2556632206.404603
8,2062313276.187734,2157571029.4526663,2432745208.432924
9,1929463375.9963927,2057268773.0686839,2319987659.0942445
10,1797779595.4868295,1966222668.7513027,2217884946.8999867
11,1665638909.7338789,1883020999.2136815,2124726229.2540615
12,1533331208.5027695,1808120607.0569725,2040907955.4711666
13,1399216757.253964,1739879981.7294953,1964495983.2459352
14,1260559298.5364928,1676671477.9266255,1893690376.500319
15,1116698330.2464197,1621701711.7892423,1832001311.3625147
16,966561749.2455719,1571662389.1993546,1775667493.1839395
17,811869234.2103746,1526381487.0382602,1724534106.2492461
18,647396747.3067697,1487925835.8820596,1680968744.9538813
19,473333974.306468,1453895822.1742308,1642239863.6289277
20,290052244.81232727,1424893593.5250702,1609079600.1480477
21,94928599.65764669,1400130339.8530338,1580726005.372374
22,-113149092.09271935,1379102931.3964055,1556518775.131162
23,-332285409.90647876,1363466343.6172948,1538384784.8075013
24,-567591201.9145628,1349077893.5672588,1521652184.8316226
25,-818298826.6505939,1336830012.5684164,1507348013.392668
26,-1083901404.5962543,1326674918.8161902,1495485869.5400076
27,-1366836609.963821,1319976343.736301,1487477615.650145
28,-1666846453.7537725,1314034450.8404145,1480369815.3770676
29,-1984395395.2412543,1310786455.525454,1476304216.344686
30,-2319299941.592648,1307280054.5806904,1471949177.652794
31,-2671887507.2251034,1305568893.3006313,1469650312.1709306
32,-3042801967.801638,1304507184.5112555,1468098246.064112
33,-3433581857.640756,1303948735.8657076,1467144291.3654492
34,-3842752597.9876184,1304883279.8188066,1467862109.233364
35,-4272364722.687072,1305425461.9675248,1468166470.6222343
36,-4719812478.974856,1305477969.5523615,1467986321.0088413
37,-5187190034.851321,1305375671.2964087,1467613922.1671202
38,-5675816610.7815275,1304454273.3733783,1466340983.0602937
39,-6184730333.839977,1305576582.184476,1467345957.3113463
40,-6712989006.370203,1306596885.6587417,1468248582.9028447
