,Capital,BE Liabs,SII Liabs
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,12798.320775213537,0.0,0.0
3,-4864768.194154887,0.0,0.0
4,-13471602.797180345,0.0,0.0
5,-25685265.10188751,0.0,0.0
6,-41912288.83873143,0.0,0.0
7,-63214937.66610231,0.0,0.0
8,-89617501.94820902,0.0,0.0
9,-122623249.66509195,0.0,0.0
10,-162846248.18976438,0.0,0.0
11,-209827825.25019747,0.0,0.0
12,-266565001.1234227,0.0,0.0
13,-332512708.75955456,0.0,0.0
14,-408548150.53089106,0.0,0.0
15,-495633973.5027427,0.0,0.0
16,-594409823.5777856,0.0,0.0
17,-706372430.0061815,0.0,0.0
18,-831209329.0952402,0.0,0.0
19,-971581330.2745199,0.0,0.0
20,-1125444394.7416475,0.0,0.0
21,-1295645073.7030542,0.0,0.0
22,-1484690523.8982172,0.0,0.0
23,-1686303189.8362184,0.0,0.0
24,-1908174703.2783515,0.0,0.0
25,-2145505718.640791,0.0,0.0
26,-2403243252.775393,0.0,0.0
27,-2678227146.9565783,0.0,0.0
28,-2972737724.26671,0.0,0.0
29,-3285097078.7370877,0.0,0.0
30,-3616262747.6201305,0.0,0.0
31,-3966643940.4506707,0.0,0.0
32,-4334689373.81826,0.0,0.0
33,-4723985877.878023,0.0,0.0
34,-5130626777.019415,0.0,0.0
35,-5554527896.255198,0.0,0.0
36,-6002703159.211761,0.0,0.0
37,-6470127903.434018,0.0,0.0
38,-6958873878.765062,0.0,0.0
39,-7465037642.71328,0.0,0.0
40,-7992529897.895316,0.0,0.0
