,Capital,BE Liabs,SII Liabs
0,3323957524.8851633,3323957524.8851633,3793982438.6725435
1,3137300940.5813155,3138531083.179862,3568569667.0719833
2,2962929118.54066,2965354983.1009417,3362112346.871992
3,2801670619.205627,2803836600.522217,3172481946.498716
4,2651178266.188374,2653504555.8547606,2998001364.0451083
5,2512103116.5680566,2514886552.8397617,2838510639.934349
6,2384093392.6513634,2388039970.2443457,2693614942.064743
7,2264281179.153932,2268085070.1622443,2557558267.2408776
8,2155242392.0187306,2159362858.005038,2434813511.382699
9,2054993170.4236965,2059878363.404568,2322967583.270607
10,1963641045.2274563,1967985564.0079494,2219927067.0892563
11,1879929816.756496,1884916328.7882504,2126883011.41933
12,1803598242.7368615,1809696637.6753473,2042701259.9609833
13,1733927516.7903423,1740137576.280674,1964866456.7062519
14,1671039010.2269816,1676113931.6829183,1893109714.5838776
15,1615258782.1132517,1620302342.7220378,1830475070.8146837
16,1566111621.1390312,1570495039.9342568,1774350553.7542696
17,1523372089.5281904,1527136679.0309076,1725364972.6893322
18,1485345041.745045,1489239719.8550515,1682399649.7243402
19,1451572206.5895393,1455416024.3988667,1643917934.3325267
20,1422217335.6861236,1425782010.838142,1610093404.1892636
21,1397119484.0823443,1401943585.0109508,1582738209.5301995
22,1376075178.6931362,1382134508.0820327,1559932343.768046
23,1358039971.0650241,1364403707.5537648,1539448023.565216
24,1343146603.707465,1349848365.4963486,1522570143.7844434
25,1330446206.6798806,1338344585.0864763,1509130756.3419082
26,1320675565.9384902,1327900264.2241657,1496868518.4010296
27,1313080162.7508605,1322295911.618653,1490079286.2963984
28,1307334291.9846501,1316370710.82135,1482946112.7764926
29,1303470311.4434152,1313126714.9227066,1478870639.3966713
30,1300411451.1597605,1309347436.964425,1474254725.4259224
31,1299807915.836702,1308028204.785888,1472355909.7911024
32,1297950922.2937503,1305786725.2249515,1469511184.4775476
33,1296344489.1908147,1305504988.1928606,1468878204.6670318
34,1295643477.066579,1304714603.7580156,1467719360.7791452
35,1294893041.596533,1304541302.4140038,1467271760.0437458
36,1294202152.7409065,1303601261.3026621,1465939876.5985918
37,1293096638.890432,1303432901.3703105,1465501548.0405211
38,1292248796.4863384,1305655731.7197764,1467776057.1128085
39,1291142471.76134,1304737123.566524,1466498680.4926698
40,1289650744.203584,1303781919.1174688,1465213382.5597339
