,Capital,BE Liabs,SII Liabs
0,3302277433.555189,3302277433.555189,3769214262.85056
1,3233257722.0732884,3117532868.247771,3544723667.4099684
2,3179957532.2608805,2943975750.4501767,3337974407.35127
3,3138847683.810341,2784069328.684814,3150272085.8890023
4,3110778165.760578,2635269045.132581,2977537095.6742053
5,3095026639.7532206,2498001367.480482,2819622344.523706
6,3091525168.740694,2369827801.1971045,2673264455.843058
7,3098761461.654784,2251924101.095377,2539454725.0908065
8,3115011675.361581,2144148073.2772963,2417782763.6346736
9,3141418958.018286,2044554461.6454244,2305814822.404077
10,3174441232.827835,1953944587.3182042,2204190251.3254466
11,3214023753.7644415,1871516580.7462554,2111892932.0464275
12,3258823586.6333833,1794950027.3460677,2026210446.021954
13,3310519020.9090724,1728387468.0220106,1951673655.4443457
14,3366006828.8686275,1667521371.1051848,1883425879.7228131
15,3425356663.8875685,1613046844.7916214,1822238138.9034216
16,3484995253.8099165,1563811831.1417468,1766800568.7968647
17,3545441796.769531,1520077153.8569436,1717404480.935581
18,3606105771.276188,1482840796.8738298,1675192692.6795328
19,3668516470.918391,1451001355.6729212,1638890733.867845
20,3728983607.900264,1424062052.7637572,1608110644.1834822
21,3788168396.5376134,1401618371.7053294,1582336665.140244
22,3844573653.3850336,1381406753.9036365,1559042794.4185627
23,3896441405.245503,1364243594.4666185,1539192770.8166075
24,3944249642.1170115,1349814342.3898473,1522420687.878027
25,3989818857.2193723,1339089402.842898,1509834702.037845
26,4030892757.696747,1330928132.5417397,1500158817.7050707
27,4070371483.701302,1324761608.967967,1492763581.2813818
28,4102929498.2169423,1320086391.634153,1487038720.8756113
29,4131227100.144234,1315789774.5508633,1481816533.7303925
30,4154123005.1272225,1312901784.3310041,1478210846.9420621
31,4178553207.857493,1311482262.1202252,1476224165.0818346
32,4196189576.7143154,1310606894.2308102,1474928041.4636734
33,4207056172.824916,1309094715.6806645,1472934648.4307919
34,4217288352.264989,1307153480.365393,1470457236.2568283
35,4225405134.9034944,1306921719.04806,1469923706.3610206
36,4233119085.4612317,1305323335.8972795,1467880029.242726
37,4237989574.002535,1306197922.2020895,1468596879.6227734
38,4239316607.040058,1305304699.292942,1467331824.3784387
39,4241048903.9766207,1304535352.0339324,1466235925.368839
40,4245099648.8572392,1303435162.7855034,1464776580.2542875
